well,date,Li,B,Na,Mg,Al,Si,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Mo,Sb,Cs,Ba,Nd,Gd,Er,Tl,Pb,U,F,Cl,NO3,SO4,PO4,DOC,temperature,EC,Eh,pH,d2H,d18O,d_excess,UTM_E,UTM_N
w39,2019/04,1.05,6.69,4782.0,3361.0,0.93,15649.0,2092.0,26282.0,0.2,0.51,532.0,21434.0,0.36,0.39,0.1,2.59,0.007,0.026,1.02,13.4,271.0,0.03,0.13,0.01,0.35,337.0,0.011,0.004,0.002,0.015,0.019,0.042,0.1,1.02,0.02,0.4,0.18,3.5,23.3,200.4,182.3,6.53,-27.9,-5.01,12.18,287126.0,7484241.0
w43,2019/04,0.52,3.05,5165.0,1634.0,14.68,11049.0,1619.0,4663.0,0.14,0.27,14.8,8.12,0.16,0.34,2.2,4.81,0.005,0.003,0.06,4.96,67.6,0.02,0.0,0.01,0.03,84.7,0.024,0.004,0.002,0.018,0.012,0.009,0.04,6.1,0.093,0.36,0.12,0.7,25.3,51.7,323.7,5.57,-33.3,-5.37,9.66,287144.0,7484689.0
w46,2019/04,2.15,5.34,35946.0,5933.0,150.3,11421.0,3152.0,6983.0,0.26,0.37,287.0,3.14,0.2,0.61,0.44,5.64,0.048,0.056,0.1,12.5,126.0,3.31,0.01,0.01,0.27,1072.0,3.892,0.59,0.249,0.291,0.122,0.04,0.16,34.4,60.4,6.45,0.012,1.1,24.7,274.4,342.6,4.94,-35.2,-6.75,18.8,286823.0,7484407.0
river,2019/04,0.48,20.1,10365.0,2351.0,301.07,7523.0,5091.0,9252.0,1.8,0.39,48.1,1230.0,0.25,0.92,1.43,3.44,0.098,0.022,0.28,16.7,89.3,0.57,0.28,0.2,0.11,73.0,0.989,0.134,0.046,0.022,0.513,0.056,0.15,10.7,6.9,2.97,0.17,4.0,24.8,112.6,303.0,7.06,-38.3,-6.18,11.14,287035.0,7484680.0
meander,2019/04,0.15,24.1,9540.0,5819.0,159.5,3604.0,11004.0,28253.0,0.84,0.16,50.9,256.0,0.11,0.32,0.41,18.1,0.071,0.01,0.63,32.6,209.0,0.13,0.27,0.04,0.1,180.0,0.285,0.032,0.012,0.004,0.119,0.083,0.31,8.75,0.02,4.15,0.06,5.7,26.7,194.7,312.0,7.41,-10.7,0.21,-12.38,286964.0,7484343.0
w04,2019/10,0.46,5.36,8918.0,2121.0,0.93,7657.0,2674.0,8419.0,0.38,0.13,266.0,1753.0,0.39,0.24,0.09,1.93,0.006,0.008,0.26,9.46,97.0,0.04,0.15,0.01,0.34,249.5,0.0201,0.0085,0.0072,0.01,0.004,0.003,0.12,9.83,0.02,0.49,0.05,3.1,21.5,161.6,237.4,6.24,-24.3,-4.0,7.7,286989.0,7484336.0
w07,2019/10,1.51,9.44,9527.0,4049.0,31.73,6125.0,6442.0,37342.0,0.12,0.08,542.0,566.0,0.48,0.6,6.95,21.64,0.018,0.005,0.13,21.99,335.9,0.03,0.2,0.02,0.4,233.7,0.0326,0.0077,0.0029,0.0192,0.0731,0.093,0.33,8.92,4.89,1.92,0.05,3.3,22.4,238.9,261.7,7.16,-11.9,-0.85,-5.1,286886.0,7484330.0
w10,2019/10,0.56,3.65,15506.0,6620.0,17.05,7894.0,2673.0,10171.0,0.74,0.17,46.4,2.9,0.05,0.22,0.18,1.21,0.006,0.016,0.05,7.55,139.8,0.79,0.03,0.01,0.11,294.9,1.0601,0.1429,0.0647,0.1444,0.0249,0.032,0.15,20.4,22.5,16.0,0.11,1.2,22.9,196.5,298.8,5.63,-31.0,-5.02,9.16,286858.0,7484397.0
w11,2019/10,0.58,2.43,6532.0,1774.0,18.57,10688.0,1668.0,3975.0,1.5,0.07,82.6,15.2,0.13,0.18,0.2,1.73,0.006,0.008,0.06,3.64,49.2,0.11,0.03,0.01,0.06,281.5,0.1407,0.0222,0.0108,0.1516,0.0334,0.007,0.099,9.15,6.02,0.75,0.14,1.4,22.0,80.5,277.9,5.84,-41.2,-6.76,12.88,286853.0,7484452.0
w12,2019/10,0.41,9.06,12651.0,3819.0,2.58,5085.0,4813.0,11511.0,0.28,0.11,324.0,47.8,1.58,0.77,0.43,27.59,0.008,0.013,0.49,13.08,174.2,0.12,0.35,0.03,0.27,335.4,0.1479,0.0218,0.0133,0.1853,0.0066,0.013,0.15,15.2,0.92,7.97,0.09,3.6,23.5,182.8,280.6,6.15,-14.1,-0.91,-6.82,286858.0,7484360.0
w14,2019/10,1.05,2.4,7185.0,2840.0,21.36,11992.0,849.0,2309.0,0.14,0.04,184.0,5.3,0.36,0.18,0.3,1.75,0.006,0.005,0.02,0.98,34.6,0.04,0.008,0.01,0.01,128.5,0.0478,0.0072,0.003,0.0161,0.0298,0.005,0.075,12.3,15.7,0.16,0.13,0.55,21.5,90.2,306.7,6.14,-35.6,-5.49,8.32,286868.0,7484512.0
w16,2019/10,0.43,5.54,5434.0,5699.0,24.52,5097.0,3126.0,20803.0,0.21,0.09,462.0,1541.4,0.55,0.42,0.16,3.01,0.017,0.005,0.29,14.41,184.1,0.1,0.31,0.02,0.23,201.4,0.1016,0.0192,0.0089,0.0207,0.053,0.033,0.18,6.06,0.02,0.23,0.04,3.0,20.7,175.2,264.4,6.58,-22.5,-2.78,-0.26,286900.0,7484389.0
w18,2019/10,0.6,2.26,6836.0,3512.0,1.21,6928.0,2428.0,6938.0,0.04,0.02,527.0,21.8,2.02,0.34,0.06,1.39,0.01,0.009,0.27,7.04,112.1,0.02,0.02,0.01,0.12,135.4,0.0081,0.0024,0.0012,0.0574,0.004,0.004,0.12,8.98,1.69,1.14,0.05,1.9,22.6,113.1,292.1,6.53,-34.5,-5.29,7.82,287294.0,7484704.0
w27,2019/10,0.66,2.91,7898.0,3159.0,3.0,11967.0,1707.0,10623.0,1.24,1.03,744.0,27545.0,1.95,0.34,0.1,2.24,0.02,0.049,0.78,6.05,109.1,0.2,0.09,0.0,0.11,256.6,0.13,0.0332,0.0209,0.0191,0.004,0.005,0.11,11.6,0.02,0.33,0.45,3.3,23.2,218.1,158.8,6.26,-27.4,-4.13,5.64,287302.0,7484268.0
w29,2019/10,0.42,7.63,59381.0,4150.0,1.85,9480.0,2571.0,14400.0,0.53,0.21,2.8,6.1,0.09,0.23,0.29,0.63,0.002,0.005,0.05,3.5,119.7,0.12,0.01,0.01,0.06,267.7,0.1528,0.0232,0.0165,0.0315,0.004,0.013,0.26,37.6,42.6,32.8,0.12,1.3,20.8,383.6,286.5,6.84,-45.7,-7.05,10.7,287239.0,7484391.0
w31,2019/10,0.55,11.28,74381.0,4506.0,217.63,7686.0,9854.0,23647.0,3.97,1.93,120.0,1227.0,0.74,0.86,4.19,4.84,0.064,0.061,0.53,26.45,257.2,0.77,0.33,0.03,0.86,430.8,1.099,0.174,0.0905,0.0471,0.2668,0.256,0.37,52.5,40.7,25.2,0.14,7.9,21.3,543.0,299.1,7.16,-38.2,-7.23,19.64,287243.0,7484441.0
w36,2019/10,0.26,2.29,19069.0,7407.0,7.3,9980.0,2644.0,15407.0,0.88,0.86,1090.0,23960.0,18.3,1.85,0.95,5.23,0.02,0.028,1.6,14.59,166.2,0.61,0.26,0.01,0.3,1470.2,0.9165,0.2919,0.0602,0.3384,0.3026,0.074,0.27,15.7,0.02,0.01,0.09,3.1,22.8,310.1,224.7,6.37,-29.7,-5.75,16.3,287256.0,7484272.0
w37,2019/10,0.25,2.4,4354.0,2521.0,12.56,11825.0,1324.0,4127.0,0.7,0.05,169.0,116.0,0.51,0.3,0.11,1.01,0.009,0.013,0.21,2.18,59.6,0.03,0.05,0.01,0.02,106.9,0.0458,0.0057,0.0026,0.0549,0.0083,0.005,0.1,4.53,0.25,0.23,0.19,0.94,22.3,68.8,250.2,6.46,-38.0,-6.94,17.52,287046.0,7484630.0
w38,2019/10,0.44,1.65,5218.0,1836.0,6.39,5771.0,768.0,3177.0,0.09,0.21,11.6,4.9,0.03,0.1,0.12,1.63,0.001,0.011,0.02,2.22,29.7,0.06,0.008,0.0,0.04,160.7,0.0828,0.0138,0.0049,0.0736,0.0056,0.018,0.042,7.53,10.6,0.6,0.17,0.7,22.8,68.9,286.3,6.81,-36.5,-6.4,14.7,287276.0,7484654.0
w39,2019/10,0.53,3.63,3527.0,1946.0,0.97,8847.0,1641.0,17854.0,0.04,0.07,102.0,71.9,0.07,0.15,0.1,0.39,0.002,0.005,0.12,8.75,152.4,0.01,0.03,0.01,0.2,173.7,0.01,0.0017,0.0007,0.0082,0.0027,0.033,0.11,1.17,1.31,0.58,0.09,3.8,21.6,123.6,273.7,7.19,-28.3,-4.65,8.9,287126.0,7484241.0
w43,2019/10,0.24,2.4,3594.0,1560.0,1.49,8096.0,1423.0,7656.0,0.36,0.06,8.3,3.2,0.03,0.1,0.17,0.87,0.003,0.01,0.04,3.19,84.4,0.01,0.008,0.01,0.01,88.1,0.0205,0.0037,0.0014,0.0218,0.004,0.011,0.081,6.91,0.4,0.66,0.1,0.94,21.8,74.3,300.7,6.12,-32.1,-5.31,10.38,287144.0,7484689.0
w44,2019/10,0.28,3.89,6436.0,6269.0,11.34,4245.0,2706.0,29012.0,0.43,0.4,0.5,7.1,0.03,0.15,0.47,0.56,0.022,0.004,0.41,7.04,178.3,0.01,0.08,0.04,0.08,233.0,0.0105,0.0044,0.0009,0.0138,0.005,0.166,0.16,9.81,0.55,1.97,0.15,1.6,21.3,202.6,283.4,7.02,-22.0,-3.59,6.72,287198.0,7484546.0
w46,2019/10,0.85,2.4,12383.0,2174.0,20.99,11542.0,1845.0,3685.0,0.44,0.06,220.0,102.0,0.68,0.37,0.43,3.87,0.009,0.014,0.15,5.41,49.0,0.22,0.04,0.03,0.1,368.9,0.2696,0.0445,0.0195,0.1668,0.0173,0.012,0.11,12.6,11.2,1.76,0.15,1.1,23.0,106.6,288.3,5.71,-40.2,-6.29,10.12,286823.0,7484407.0
river,2019/10,0.37,17.63,9157.0,1832.0,45.29,5260.0,4257.0,8357.0,0.64,0.11,37.4,301.0,0.09,0.77,0.83,0.96,0.019,0.016,0.16,9.91,60.1,0.05,0.27,0.12,0.08,46.4,0.099,0.0215,0.0052,0.0149,0.0958,0.015,0.3,9.12,0.02,4.31,0.03,3.5,19.6,109.8,260.4,7.08,-29.0,-4.93,10.44,287035.0,7484680.0
meander,2019/10,0.28,14.26,7529.0,4525.0,636.25,2364.0,9087.0,23624.0,1.75,0.49,91.8,831.0,0.18,0.4,0.53,1.42,0.296,0.027,0.62,20.53,148.3,0.35,0.16,0.03,0.11,159.1,0.8833,0.1102,0.0365,0.0082,0.428,0.209,0.14,13.0,11.5,3.51,0.16,9.4,22.7,193.1,274.0,7.57,-0.3,2.14,-17.42,286964.0,7484343.0
