,Li,B,Na,Mg,Al,Si,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Mo,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,U,F,Cl,NO3,SO4,PO4,DOC,temperature,EC,Eh,TDS,pH,d2H,d18O,d_excess,UTM_E,UTM_N
count,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
mean,0.7556410256410258,7.454102564102562,15621.51282051282,4029.7948717948716,48.79205128205128,9166.25641025641,3452.974358974359,15765.589743589744,0.7053846153846154,0.3151282051282052,236.83076923076916,3185.7994871794867,1.0171794871794875,0.4492307692307692,0.832820512820513,5.485384615384616,0.02476923076923077,0.017128205128205128,0.31794871794871793,10.433076923076925,156.8871794871795,0.3138461538461539,0.1304871794871795,0.025897435897435896,0.1676923076923077,313.61538461538464,0.4885717948717949,1.050476923076923,0.10123333333333331,0.40860769230769234,0.06975128205128206,0.01732051282051282,0.06306923076923077,0.007779487179487181,0.04210256410256409,0.008689743589743589,0.026174358974358974,0.003694871794871795,0.025551282051282053,0.0042282051282051284,0.07228205128205126,0.06333076923076923,0.04325641025641025,0.14948717948717952,14.166923076923077,9.293666666666667,6.444358974358974,0.1321025641025641,2.399487179487179,23.066666666666663,187.67435897435902,276.7435897435897,122.01871794871793,6.320256410256412,-29.73076923076923,-4.9074358974358985,9.528717948717947,287059.3333333333,7484446.230769231
std,0.6020001524383216,5.590631598792242,16238.37635919078,1843.037226963419,115.8682284952561,3081.454242449998,2446.8703156134975,11722.359181266751,0.8481833408863233,0.3512973833548392,262.81544670802754,7751.508960589189,2.9384447629369026,0.3710538662511401,1.6141527820434711,7.613072844630599,0.049105397676545294,0.014800745868793388,0.36219491326588443,6.977240501820395,103.33982311691535,0.5997175448519402,0.14685902151291247,0.035815165026618835,0.15499510244319503,266.8676574618781,0.9680246448985192,2.2334878621212417,0.19756515159006918,0.7563930892502834,0.13167682902069242,0.03065059610897246,0.11285136744232761,0.015171565847215978,0.08433010477996414,0.016297994627557467,0.04543261475119943,0.005970715760581575,0.038166910936285554,0.005826479876073442,0.08981903113247353,0.11611162767342322,0.059939319292939455,0.08733838361431744,10.362109405716211,14.165957976288256,11.049956131104107,0.07286461666456097,1.9117860878989417,1.5190601896070879,106.25715757426642,44.544600918463225,69.07167300327237,0.6349118761043563,9.897664632739698,2.1772927636579933,8.514053762514372,172.23459114232804,150.68919940663883
min,0.15,1.65,3527.0,1560.0,0.58,2364.0,746.0,1823.0,0.04,0.02,0.5,2.9,0.03,0.08,0.06,0.39,0.001,0.003,0.02,0.98,29.7,0.01,0.0,0.0,0.01,46.4,0.012,0.0134,0.0018,0.0081,0.0017,0.001,0.0017,0.0,0.0011,0.0003,0.0007,0.0,0.0009,0.0,0.004,0.0027,0.003,0.011,1.02,0.02,0.01,0.012,0.55,19.6,51.7,143.5,33.61,4.94,-45.7,-7.28,-17.42,286823.0,7484231.0
25%,0.415,2.98,6484.0,2436.0,2.75,7590.0,1959.5,7319.5,0.20500000000000002,0.11,32.65,6.859999999999999,0.10500000000000001,0.22,0.1,1.4049999999999998,0.006,0.008,0.07,5.52,83.6,0.04,0.01,0.01,0.08,167.2,0.0336,0.05025,0.0069,0.0298,0.007,0.0021,0.0071,0.00095,0.00425,0.001,0.003,0.0005499999999999999,0.003,0.0005499999999999999,0.018549999999999997,0.0068000000000000005,0.008,0.1,8.395,0.02,0.45499999999999996,0.09,1.1,22.15,112.85,260.15,73.515,5.82,-37.15,-6.550000000000001,7.76,286886.0,7484336.0
50%,0.56,5.54,9540.0,3804.0,11.34,9480.0,2674.0,11511.0,0.38,0.17,120.0,71.9,0.25,0.34,0.29,2.59,0.009,0.013,0.21,9.08,139.8,0.11,0.08,0.01,0.11,256.6,0.1133,0.175,0.0241,0.1016,0.021,0.0063,0.0215,0.0024,0.013,0.003,0.011,0.0017,0.011,0.002,0.03,0.019,0.016,0.14,11.6,2.13,1.76,0.13,1.7,22.9,182.8,286.5,119.0,6.27,-31.8,-5.37,10.44,287035.0,7484397.0
75%,0.95,9.475,15932.0,5241.5,24.310000000000002,11261.0,4331.0,23635.5,0.79,0.39,403.0,1029.0,0.665,0.605,0.605,4.88,0.02,0.019,0.44999999999999996,13.5,199.5,0.325,0.225,0.03,0.235,356.95,0.347,0.7899,0.0795,0.36250000000000004,0.0665,0.016,0.0545,0.006500000000000001,0.03615,0.008,0.024,0.00355,0.0281,0.00465,0.078,0.047,0.042499999999999996,0.185,17.0,11.7,4.88,0.165,3.2,23.95,219.1,302.2,142.535,6.744999999999999,-25.5,-4.0649999999999995,14.83,287241.0,7484584.0
max,3.38,24.1,74381.0,8648.0,636.25,15649.0,11004.0,50246.0,3.97,1.93,1090.0,27971.0,18.3,1.85,6.95,30.5,0.296,0.061,1.6,32.6,475.0,3.31,0.69,0.2,0.86,1470.2,4.833,10.798,1.033,3.892,0.711,0.169,0.59,0.085,0.479,0.091,0.249,0.032,0.198,0.028,0.3384,0.513,0.256,0.37,52.5,60.4,49.1,0.45,9.4,26.7,543.0,342.6,353.0,7.57,-0.3,2.14,21.32,287316.0,7484704.0
